Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1664337600000,1287.24000000,1288.98000000,1280.99000000,1283.93000000,23634.43650000,1664341199999,30351107.20344400,30516,12378.37170000,15896287.63227600,0
1664341200000,1283.92000000,1286.99000000,1277.19000000,1286.46000000,19873.04770000,1664344799999,25497233.62374700,28648,10793.96800000,13850637.39263400,0
1664344800000,1286.46000000,1293.45000000,1277.39000000,1277.47000000,25425.16910000,1664348399999,32672150.25173700,29888,13595.81920000,17473690.18957500,0
1664348400000,1277.48000000,1286.58000000,1266.52000000,1285.53000000,54482.32100000,1664351999999,69582484.39737600,49992,27263.86710000,34831444.54038000,0
1664352000000,1285.52000000,1285.95000000,1276.88000000,1282.67000000,28847.15970000,1664355599999,36954676.25792900,38932,14159.76780000,18139542.08405700,0
1664355600000,1282.68000000,1283.83000000,1270.00000000,1273.24000000,29262.57620000,1664359199999,37304620.24451800,40868,14646.47710000,18672898.81558300,0
1664359200000,1273.23000000,1311.74000000,1253.20000000,1302.75000000,114942.38880000,1664362799999,147791950.39162300,109451,56634.30140000,72914732.99101000,0
1664362800000,1302.74000000,1305.60000000,1287.83000000,1295.31000000,34164.44090000,1664366399999,44214152.14447100,43618,16751.50190000,21678172.17938100,0
1664366400000,1295.31000000,1311.42000000,1293.69000000,1304.29000000,32954.68050000,1664369999999,42929730.72991900,40972,18642.01520000,24288537.62574300,0
1664370000000,1304.29000000,1318.55000000,1298.17000000,1310.58000000,54863.10430000,1664373599999,71807058.60499500,59817,27376.03520000,35839144.20414500,0
1664373600000,1310.57000000,1331.64000000,1305.00000000,1325.77000000,53915.70430000,1664377199999,71152790.79714800,59198,28066.75320000,37051496.19887600,0
1664377200000,1325.78000000,1332.90000000,1322.17000000,1331.78000000,31400.01940000,1664380799999,41694362.38353600,38396,16629.24610000,22084028.15587000,0
1664380800000,1331.78000000,1339.35000000,1328.41000000,1329.35000000,34359.56360000,1664384399999,45816686.19749400,40530,17604.44160000,23470489.31822700,0
1664384400000,1329.34000000,1335.35000000,1310.54000000,1322.05000000,40284.26820000,1664387999999,53341047.86375300,45741,18895.77990000,25014515.90357600,0
1664388000000,1322.05000000,1336.24000000,1314.50000000,1333.18000000,28658.20350000,1664391599999,37993738.49368600,40692,14353.96460000,19030392.53025900,0
1664391600000,1333.18000000,1343.75000000,1322.00000000,1334.12000000,28112.64790000,1664395199999,37495784.02384600,38056,13681.97950000,18246961.58362900,0
1664395200000,1334.13000000,1355.47000000,1333.10000000,1350.44000000,36117.03540000,1664398799999,48622702.49895500,45290,21275.16790000,28643794.60546200,0
1664398800000,1350.43000000,1355.70000000,1341.04000000,1345.44000000,18640.05470000,1664402399999,25148838.18547500,29678,8806.13550000,11881742.73013400,0
1664402400000,1345.43000000,1346.63000000,1333.52000000,1338.04000000,24369.22110000,1664405999999,32657571.66351700,31883,12488.54520000,16735307.93139600,0
1664406000000,1338.03000000,1344.01000000,1335.10000000,1337.20000000,12840.61440000,1664409599999,17205771.03633700,22852,5683.53310000,7616853.41984200,0
1664409600000,1337.20000000,1344.28000000,1327.37000000,1334.21000000,26548.11060000,1664413199999,35490631.25363500,28503,13200.71970000,17650582.84068200,0
1664413200000,1334.21000000,1352.02000000,1333.09000000,1344.48000000,24648.72850000,1664416799999,33120298.19567200,29918,13637.45710000,18318442.37469400,0
1664416800000,1344.48000000,1346.84000000,1330.52000000,1336.71000000,27410.80230000,1664420399999,36669351.09815100,31780,13503.84510000,18065296.16120600,0
1664420400000,1336.71000000,1343.59000000,1332.20000000,1342.00000000,19250.44280000,1664423999999,25756729.12833600,25990,9354.21630000,12515799.30597400,0
1664424000000,1342.01000000,1345.92000000,1339.12000000,1341.26000000,17595.74830000,1664427599999,23626205.56455800,27041,7977.79310000,10712781.61345200,0
1664427600000,1341.26000000,1344.86000000,1329.23000000,1332.35000000,27248.64430000,1664431199999,36398816.63056600,34320,13066.91160000,17455951.61246800,0
1664431200000,1332.36000000,1332.36000000,1322.14000000,1328.58000000,26754.58020000,1664434799999,35501726.43398700,33713,12673.25400000,16815925.15040100,0
1664434800000,1328.58000000,1330.53000000,1313.55000000,1322.00000000,41568.17980000,1664438399999,54825955.16201800,49532,19390.86330000,25577253.32269900,0
1664438400000,1321.99000000,1325.50000000,1314.00000000,1324.24000000,32223.25180000,1664441999999,42576797.72151100,44452,16591.21800000,21922186.07283900,0
1664442000000,1324.23000000,1340.09000000,1322.49000000,1337.00000000,38342.79820000,1664445599999,51090714.00173900,46375,19527.02540000,26023022.31756100,0
1664445600000,1336.99000000,1342.10000000,1332.36000000,1336.70000000,18083.49400000,1664449199999,24163895.48884500,26036,9893.06050000,13220660.75008000,0
1664449200000,1336.71000000,1345.24000000,1332.54000000,1336.56000000,25573.38280000,1664452799999,34245159.39127100,34575,14113.62310000,18903837.73316900,0
1664452800000,1336.57000000,1337.73000000,1312.43000000,1319.88000000,61997.29150000,1664456399999,82079361.38954700,66578,30634.99070000,40564323.33499300,0
1664456400000,1319.87000000,1329.86000000,1294.34000000,1301.10000000,82098.69430000,1664459999999,107855541.35757200,77989,38857.06470000,51071304.97928700,0
1664460000000,1301.10000000,1324.22000000,1288.52000000,1320.22000000,67402.16450000,1664463599999,87844446.26982100,76427,35510.62870000,46291634.42176500,0
1664463600000,1320.22000000,1332.93000000,1317.25000000,1326.80000000,44826.57510000,1664467199999,59479375.19605700,59101,23684.32650000,31428944.49082300,0
1664467200000,1326.81000000,1348.25000000,1314.64000000,1337.45000000,46226.66960000,1664470799999,61640743.94983300,59669,23589.06510000,31456602.24550200,0
1664470800000,1337.45000000,1341.94000000,1326.09000000,1326.53000000,25964.50660000,1664474399999,34668121.51532200,40466,12866.37870000,17180074.03494500,0
1664474400000,1326.53000000,1339.98000000,1319.67000000,1326.86000000,31906.07360000,1664477999999,42396188.34946600,44339,16232.91250000,21570629.73969900,0
1664478000000,1326.85000000,1341.95000000,1326.63000000,1333.31000000,25489.82580000,1664481599999,34034893.78635200,34247,14357.54670000,19171910.02147000,0
1664481600000,1333.30000000,1339.57000000,1330.00000000,1337.81000000,11863.19490000,1664485199999,15835373.46488600,20223,5892.67100000,7865592.52192000,0
1664485200000,1337.80000000,1338.71000000,1331.51000000,1332.68000000,8528.78200000,1664488799999,11391717.11272500,17242,4001.96860000,5344720.25269000,0
1664488800000,1332.68000000,1340.95000000,1324.07000000,1329.28000000,21355.53130000,1664492399999,28427703.11077100,22657,10558.98780000,14048272.95723800,0
1664492400000,1329.28000000,1337.87000000,1326.13000000,1335.70000000,17684.21670000,1664495999999,23553765.51407000,19303,8509.57160000,11336319.96406500,0
1664496000000,1335.69000000,1352.30000000,1327.50000000,1337.51000000,48972.18210000,1664499599999,65553119.56321200,52597,26657.21710000,35698166.90748700,0
1664499600000,1337.52000000,1338.22000000,1328.26000000,1335.97000000,21216.12100000,1664503199999,28298583.72494300,26456,10624.16850000,14171403.12379100,0
1664503200000,1335.97000000,1336.88000000,1325.00000000,1326.39000000,19012.33080000,1664506799999,25275586.52202400,23735,9077.34360000,12069066.78787900,0
1664506800000,1326.38000000,1329.61000000,1320.12000000,1327.49000000,19747.85300000,1664510399999,26174948.57992500,22816,9334.17960000,12371713.13649900,0
1664510400000,1327.50000000,1331.07000000,1325.80000000,1328.49000000,10271.99380000,1664513999999,13647658.81722300,14282,4963.55500000,6594277.83795700,0
1664514000000,1328.49000000,1335.59000000,1328.17000000,1329.87000000,13538.56380000,1664517599999,18038680.94938800,18316,7674.88370000,10225479.76332600,0
1664517600000,1329.87000000,1334.63000000,1329.53000000,1332.98000000,11554.26210000,1664521199999,15392910.91116800,16640,6129.70800000,8165793.96649200,0
1664521200000,1332.98000000,1346.10000000,1332.37000000,1339.88000000,34451.50130000,1664524799999,46215670.64612200,35905,20511.21790000,27513527.99751200,0
1664524800000,1339.89000000,1349.36000000,1337.30000000,1348.60000000,21052.04870000,1664528399999,28230990.21635700,29095,11963.10120000,16044939.30800800,0
1664528400000,1348.61000000,1349.00000000,1339.17000000,1342.47000000,19481.46380000,1664531999999,26172335.57091900,24693,8416.05570000,11306341.98270100,0
1664532000000,1342.48000000,1344.68000000,1332.09000000,1337.08000000,24261.59230000,1664535599999,32488689.25251700,30618,12612.99500000,16893648.82712200,0
1664535600000,1337.07000000,1339.63000000,1326.01000000,1330.80000000,24105.73400000,1664539199999,32161348.22696100,31153,11119.37630000,14836139.93526000,0
